Time,Size,Location,County,State,Lat,Lon,Comments
0015,250,CAPLINGER MILLS,CEDAR,MO,37.79,-93.8,(SGF)
0036,125,5 W OKLAHOMA CITY,OKLAHOMA,OK,35.47,-97.6,I40 AND MERIDIAN (OUN)
0045,175,1 W DRUMRIGHT,CREEK,OK,35.99,-96.62,REPORTED ON HIGHWAY 33 (TSA)
0049,150,WASHINGTON,FRANKLIN,MO,38.55,-91.01,1.0 TO 1.5 INCH DIAMETER HAIL ON THE EAST SIDE OF WASHINGTON. (LSX)
0050,100,MICHIGAMME,MARQUETTE,MI,46.53,-88.11,(MQT)
0110,100,ELKTON,HICKORY,MO,37.85,-93.43,WIDESPREAD NICKLE TO QUARTER HAIL ACROSS SOUTHERN HICKORY COUNTY. (SGF)
0117,100,PIGEON FALLS,TREMPEALEAU,WI,44.42,-91.21,(ARX)
0122,100,MARYLAND HEIGHTS,ST. LOUIS,MO,38.72,-90.48,(LSX)
0125,100,FLORISSANT,ST. LOUIS,MO,38.8,-90.32,30-40 MPH WINDS WITH QUARTER-SIZED HAIL. (LSX)
0136,175,7 SW NEWCASTLE,GRADY,OK,35.18,-97.69,MILE MARKER 102 ON HE BAILEY TURPIKE (OUN)
0145,175,3 NNW BLANCHARD,GRADY,OK,35.19,-97.68,(OUN)
0155,125,NEWCASTLE,MCCLAIN,OK,35.25,-97.6,NICKEL TO HALF DOLLAR HAIL (OUN)
0155,100,4 S ROCHESTER,OLMSTED,MN,43.96,-92.48,(ARX)
0203,100,1 SW SHAWNEE,POTTAWATOMIE,OK,35.33,-96.93,(OUN)
0210,100,5 NE MANLY,WORTH,IA,43.34,-93.12,NICKEL TO QUARTER SIZE HAIL. (DMX)
0214,100,1 S KENSETT,WORTH,IA,43.34,-93.21,RELAYED BY KAAL TV. POSSIBE FUNNEL CLOUD OBSERVED AS WELL. (DMX)
0215,175,3 NE NOBLE,CLEVELAND,OK,35.17,-97.36,(OUN)
0216,100,O'FALLON,ST. CLAIR,IL,38.59,-89.91,(LSX)
0217,100,3 N NOBLE,CLEVELAND,OK,35.18,-97.39,(OUN)
0225,100,O'FALLON,ST. CLAIR,IL,38.59,-89.91,(LSX)
0225,175,MANLY,WORTH,IA,43.29,-93.2,QUARTER TO GOLF BALL SIZE HAIL. (DMX)
0232,100,3 NE TUTTLE,GRADY,OK,35.32,-97.78,(OUN)
0240,100,PREDMORE,OLMSTED,MN,43.93,-92.34,GROUND COVERED WITH HAIL (ARX)
0242,125,4 WNW GRAFTON,WORTH,IA,43.36,-93.13,(DMX)
0245,175,7 SE ROCHESTER,OLMSTED,MN,43.94,-92.38,(ARX)
0245,100,2 SW EYOTA,OLMSTED,MN,43.97,-92.26,(ARX)
0247,100,1 SW EYOTA,OLMSTED,MN,43.98,-92.24,(ARX)
0249,100,3 N GRAFTON,WORTH,IA,43.37,-93.07,TRAINED SPOTTER REPORTS DIME TO NICKEL SIZED HAIL WITH A FEW QUARTERS MIXED IN CURRENTLY FALLING. (DMX)
0255,250,1 E ASHER,POTTAWATOMIE,OK,34.99,-96.91,HWY 39 (OUN)
