Time,F_Scale,Location,County,State,Lat,Lon,Comments
2207,UNK,HASTINGS,DAKOTA,MN,44.73,-92.85,LOST POWER LAW ENFORCEMENT RECEIVING MANY CALL (MPX)
2210,58,10 W RIVER FALLS,WASHINGTON,MN,44.86,-92.83,(MPX)
2214,58,EAU GALLE,DUNN,WI,44.69,-92.01,(MPX)
2220,UNK,4 SE SHENANDOAH,PAGE,IA,40.72,-95.32,EXTENSIVE ROOF DAMAGE TO A BARN AND OTHER DEBRIS IN AREA. (OAX)
2220,UNK,4 N ELLSWORTH,PIERCE,WI,44.8,-92.48,FEW TREES DOWN (MPX)
2222,60,3 WNW LATHAM,BUTLER,KS,37.55,-96.69,(ICT)
2222,UNK,ST. CHARLES,WINONA,MN,43.97,-92.06,POWER LINES DOWN IN THE CITY. ONE TREE DOWN IN THE CITY AS WELL. (ARX)
2225,UNK,4 NE COUNCIL GROVE,MORRIS,KS,38.7,-96.44,DAMAGE TO A HOME AND AN OUT BUILDING WAS DESTROYED ON OLD K4 HIGHWAY. (TOP)
2240,UNK,BALDWIN,ST. CROIX,WI,44.96,-92.37,THREE INCH DIAMETER BRANCHES DOWN. (MPX)
2245,UNK,ARKANSAS CITY,COWLEY,KS,37.07,-97.04,EMERGENCY MANAGER REPROTS A 20 INCH TREE LIMB DOWN AND COVERING MOST OF THE ROADWAY ON A SIDE STREET WEST OF DOWNTOWN ARK CITY AT THE 100 BLOCK AND NORTH 5TH STREET. TI (ICT)
2249,60,STROTHER FIELD AIRPORT,COWLEY,KS,37.16,-97.03,(ICT)
2255,UNK,ESE MELVERN,OSAGE,KS,38.51,-95.64,A 4 FOOT DIAMETER TREE BLOWN OVER ONTO HOUSE AT THEIR LOCATION. (TOP)
2257,UNK,3 S COCHRANE,BUFFALO,WI,44.19,-91.84,TREES AND POWER LINES DOWN AROUND COCHRANE. (ARX)
2257,UNK,BUFFALO,WABASHA,WI,44.22,-91.87,POWER LINES DOWN IN THE CITY (ARX)
2259,60,1 SE ESKRIDGE,WABAUNSEE,KS,38.85,-96.1,(TOP)
2300,UNK,HORTENSE,BRANTLEY,GA,31.33,-81.96,CENTRAL DISPATCH REPORTED SOME STRUCTURAL DAMAGE TO OUTBUILDINGS IN THE HORTENSE AREA. (JAX)
2300,UNK,EUREKA,GREENWOOD,KS,37.82,-96.29,EMERGENCY MANAGER REPORTS BROKEN WINDOWS FROM HAIL DRIVEN BY THE WIND. (ICT)
2303,65,OSAGE CITY,OSAGE,KS,38.63,-95.83,(TOP)
2304,70,WALCOTT,SCOTT,IA,41.59,-90.78,RELAYED BY THE SCOTT COUNTY SHERIFFS OFFICE (DVN)
2307,UNK,COUDERAY,SAWYER,WI,45.8,-91.3,SAWYER COUNTY SHERIFF REPORTED SEVERAL BIG TREES DOWN BLOCKING PORTIONS OF COUNTY HIGHWAY C AND STATE HIGHWAY 27 AND 70 NEAR COUDERAY AND COUDERAY TOWNSHIP. (DLH)
2315,60,7 N IUKA,STAFFORD,KS,37.83,-98.72,(DDC)
2315,UNK,GILMANTON,BUFFALO,WI,44.46,-91.68,12 POWER POLES DOWN (ARX)
2315,UNK,3 E NEW RICHMOND,ST. CROIX,WI,45.12,-92.48,SPOTTER RELAYED INFORMATION FROM SCANNER CONCERNING REPORTS OF POWER LINES DOWN BETWEEN NEW RICHMOND AND DEER PARK ALONG HIGHWAY 64. (MPX)
2326,58,FORBES FIELD,SHAWNEE,KS,38.96,-95.67,(TOP)
2332,61,BILLARD AIRPORT,SHAWNEE,KS,39.08,-95.62,(TOP)
2332,60,5 W DAVENPORT,SCOTT,IA,41.56,-90.7,ALSO REPORTED NICKEL SIZE HAIL. (DVN)
2338,UNK,1 W EARLHAM,MADISON,IA,41.49,-94.14,SEMI BLOWN OVER (DMX)
2338,60,ADEL,DALLAS,IA,41.61,-94.03,PEA TO SMALL MARBLE SIZE HAIL (DMX)
2341,60,DAVENPORT MUNICIPAL AIR,SCOTT,IA,41.62,-90.58,(DVN)
2342,UNK,2 NW DAVENPORT,SCOTT,IA,41.58,-90.63,TREES DOWN ALONG DIVISION FROM 12TH STREET TO CENTRAL PARK TO 35TH. ROAD BLOCKED IN SPOTS. (DVN)
2343,UNK,4 ESE DALLAS CENTER,DALLAS,IA,41.66,-93.91,ROOF AND STRUCTURAL DAMAGE TO BUILDING. POSSIBLE TORNADO UNCOMFIRMED AT THIS TIME. TIME ESTIMATED. (DMX)
2347,UNK,SHELL LAKE,WASHBURN,WI,45.74,-91.9,REPORT OF AT LEAST ONE POWER LINE BLOWN DOWN IN SHELL LAKE. (DLH)
2350,59,LAWRENCE AIRPORT,DOUGLAS,KS,39.02,-95.22,(TOP)
2350,UNK,ALPHA,HENRY,IL,41.19,-90.38,TREES REPORTED DOWN. (DVN)
2353,UNK,EARLHAM,MADISON,IA,41.49,-94.12,ROOF BLOWN OFF HOUSE (DMX)
2355,UNK,6 ESE OSKALOOSA,JEFFERSON,KS,39.2,-95.21,TREE CAME DOWN ON VACANT HOUSE (TOP)
2355,UNK,1 W MCLOUTH,JEFFERSON,KS,39.2,-95.23,TREES BLOWN DOWN ON K-16 HIGHWAY ABOUT 1.5 MILES WEST OF MCLOUTH. (TOP)
2355,UNK,OSKALOOSA,JEFFERSON,KS,39.22,-95.31,DAMAGE TO METAL ROOFS AT A LUMBER YARD ON HIGHWAY 59. (TOP)
2355,60,S WHITING,JACKSON,KS,39.58,-95.61,(TOP)
0000,60,FALL CREEK,EAU CLAIRE,WI,44.76,-91.27,(MPX)
0003,60,1 W CAMBRIDGE,HENRY,IL,41.3,-90.2,THE GUST OCCURRED AHEAD OF THE STORMS. THERE WAS ALOT OF BLOWING DUST. (DVN)
0005,UNK,URICH,HENRY,MO,38.46,-94,LARGE TREE BLOWN OVER...ESTIMATED 60 MPH WINDS (EAX)
0009,UNK,CAMBRIDGE,HENRY,IL,41.3,-90.19,TREES REPORTED DOWN. (DVN)
0010,61,3 NNW SHAWNEE,POTTAWATOMIE,OK,35.38,-96.94,(OUN)
0012,60,1 N EASTON KS,LEAVENWORTH,KS,39.36,-95.12,WIND REPORTED AS 60 PLUS (EAX)
0015,UNK,LEAVENWORTH,LEAVENWORTH,KS,39.32,-94.92,SEVERAL LARGE TREES DOWN (EAX)
0015,60,ATCHISON,ATCHISON,KS,39.56,-95.12,(EAX)
0018,72,1 E GARDNER,JOHNSON,KS,38.81,-94.91,(EAX)
0020,UNK,OSAWATOMIE,MIAMI,KS,38.5,-94.95,SEVERAL TREES BLOWN OVER ROADS NEAR OSAWATOMIE (EAX)
0020,UNK,PAOLA,MIAMI,KS,38.58,-94.87,NUMEROUS TREES DOWN IN THE CITY OF PAOLA (EAX)
0025,70,OLATHE,JOHNSON,KS,38.89,-94.81,(EAX)
0025,67,BELOIT,MITCHELL,KS,39.47,-98.11,THUNDERSTORM OUTFLOW IN ADVANCE OF APPROACHING STORM. (GID)
0025,UNK,BELOIT,MITCHELL,KS,39.47,-98.11,GARAGE DOOR BLOWN OFF ITS TRACK. TIME EST FROM NEARBY AWOS. (GID)
0027,UNK,1 E ALLEMAN,POLK,IA,41.82,-93.59,POWERLINES DOWN ON HIGHWAY 69 EAST OF ALLEMAN. (DMX)
0027,UNK,2 NW MAXWELL,STORY,IA,41.91,-93.43,A FEW LARGE TREE LIMBS...8 INCHES IN DIAMETER AND ROUGHLY 20 FOOT LONG DOWN. (DMX)
0028,65,1 S LEWISTON,WINONA,MN,43.97,-91.87,(ARX)
0030,74,1 S LEWISTON,WINONA,MN,43.97,-91.87,(ARX)
0032,59,ST. JOSEPH,BUCHANAN,MO,39.77,-94.85,(EAX)
0035,70,GLEN ELDER,MITCHELL,KS,39.5,-98.31,TRAINED SPOTTER REPORTED WINDS ESTIMATED AT UP TO 70 MPH WITH DIME SIZE HAIL. (GID)
0038,63,BELOIT,MITCHELL,KS,39.47,-98.11,(GID)
0038,UNK,ST JOSEPH,BUCHANAN,MO,39.76,-94.85,TREES AND POWERLINES DOWN (EAX)
0039,UNK,3 N WESTON,PLATTE,MO,39.46,-94.9,NUMEROUS TREES DOWN IN THE WESTON AREA ALONG AND BLOCKING 45 TO BUCHANAN COUNTY LINE (EAX)
0040,60,GRANDVIEW,JACKSON,MO,38.88,-94.52,(EAX)
0040,62,WINONA,WINONA,MN,44.05,-91.66,(ARX)
0043,UNK,PECULIAR,CASS,MO,38.72,-94.46,58 TO 60 MPH WINDS...TWO 30 FT.TREES BLOWN DOWN. (EAX)
0045,60,4 NW LIBERTY,CLAY,MO,39.28,-94.47,(EAX)
Time,Size,Location,County,State,Lat,Lon,Comments
1605,100,4 NE NEWNAN,COWETA,GA,33.42,-84.75,LARGE HAIL WAS REPORTED ALONG NORTH HIGHWAY 29 NEAR GREENTOP ROAD. (FFC)
1643,100,5 S MOUNT STERLING,BROWN,IL,39.91,-90.76,(LSX)
1720,100,7 SW KNOXVILLE,KNOX,TN,35.9,-84.03,(MRX)
1740,125,BEARDEN,KNOX,TN,35.93,-84,HALF DOLLAR SIZE HAIL REPORTED BY SPOTTER. (MRX)
1745,100,5 E FARRAGUT,KNOX,TN,35.87,-84.09,QUARTER SIZE HAIL REPORTED ALONG KINGSTON PIKE NEAR GALLAGHER ROAD IN WEST KNOXVILLE. (MRX)
1747,125,4 NE OAK RIDGE,ANDERSON,TN,36,-84.25,HALF DOLLAR SIZE HAIL AND SEVERAL TREES DOWN (MRX)
1904,100,SE SMITHVILLE,DE KALB,TN,35.96,-85.82,ESPOTTER REPORT OF 1 INCH HAIL IN SMITHVILLE. (OHX)
1910,100,LIBERTY,GAGE,NE,40.08,-96.48,MOSTLY NICKEL BUT A FEW QUARTER-SIZE. (OAX)
1934,100,5 E MCMINNVILLE,WARREN,TN,35.69,-85.69,ESPOTTER REPORT OF QUARTER SIZE HAIL JUST EAST OF MCMINNVILLE. (OHX)
1950,100,1 ENE NORWICH,KINGMAN,KS,37.46,-97.83,(ICT)
1953,100,5 N MCMINNVILLE,WARREN,TN,35.76,-85.78,FACEBOOK REPORT OF 1 INCH DIAMETER HAIL IN THE FAULKER SPRINGS AREA JUST SOUTH OF GREEN HILL. (OHX)
1953,125,SE NORWICH,KINGMAN,KS,37.46,-97.84,(ICT)
1957,100,3 SSW BENNINGTON,OTTAWA,KS,38.99,-97.62,(TOP)
2005,100,4 NE DONALD,LONG,GA,31.87,-81.81,HAIL UP TO THE SIZE OF QUARTERS ON FLOWERS ROAD NEAR HW-196. (CHS)
2014,100,CHARLES CITY,FLOYD,IA,43.07,-92.68,(ARX)
2018,100,5 SW AXTELL,MARSHALL,KS,39.82,-96.33,(TOP)
2020,100,6 ENE KEARNEY,BUFFALO,NE,40.73,-98.98,(GID)
2024,175,5 WNW CLEARWATER,SEDGWICK,KS,37.53,-97.58,(ICT)
2026,100,1 W OSAGE,MITCHELL,IA,43.28,-92.83,LOTS OF QUARTER SIZED HAIL COVERING THE GROUND ALONG HWY 9. (ARX)
2028,100,WNW HIGDON,JACKSON,AL,34.85,-85.62,QUARTER SIZED HAIL REPORTED IN THE HIGDON COMMUNITY (HUN)
2030,100,1 WSW SALTVILLE,SMYTH,VA,36.87,-81.78,HAIL RANGED FROM NICKEL TO QUARTER SIZE ALONG RT 91 (RNK)
2031,175,4 N CLEARWATER,SEDGWICK,KS,37.56,-97.51,(ICT)
2033,125,PLATTSMOUTH,CASS,NE,41.01,-95.89,(OAX)
2036,100,3 S COZAD,DAWSON,NE,40.82,-99.99,(GID)
2040,100,HODGENVILLE,LARUE,KY,37.57,-85.74,(LMK)
2042,150,3 SE COZAD,DAWSON,NE,40.83,-99.95,(GID)
2045,100,CHEROKEE,ALFALFA,OK,36.75,-98.35,(OUN)
2045,175,HODGENVILLE,LARUE,KY,37.57,-85.74,(LMK)
2046,175,WICHITA MID CONTINENT A,SEDGWICK,KS,37.66,-97.44,GOLF BALL SIZE HAIL AT THE NWS OFFICE (ICT)
2046,275,1 N GIBBON,BUFFALO,NE,40.76,-98.84,LAW ENFORCEMENT REPORTS BASEBALL SIZE HAIL NORTH OF GIBBON NEAR 85TH ROAD (GID)
2047,100,7 WNW EDMOND,OKLAHOMA,OK,35.69,-97.59,MCARTHUR AND COFFEE CREEK RD (OUN)
2057,100,NORTHEAST WICHITA,SEDGWICK,KS,37.75,-97.22,QUARTER SIZE HAIL AT THE KWCH OFFICE (ICT)
2059,150,10 NW LEXINGTON,DAWSON,NE,40.88,-99.88,STORM CHASER REPORTS QUARTER AND PING PONG SIZE HAIL (GID)
2100,100,2 E GIBBON,BUFFALO,NE,40.75,-98.81,(GID)
2101,150,7 ENE PIEDMONT,OKLAHOMA,OK,35.68,-97.63,(OUN)
2101,175,2 N BENTON,BUTLER,KS,37.82,-97.11,(ICT)
2102,100,ROCKPORT,ATCHISON,MO,40.42,-95.52,(EAX)
2105,175,13 W MEDFORD,GRANT,OK,36.81,-97.97,NESCATUNGA NR HWY 11 (OUN)
2105,100,4 ESE PAXICO,WABAUNSEE,KS,39.06,-96.1,(TOP)
2107,100,2 NW HODGENVILLE,LARUE,KY,37.59,-85.76,(LMK)
2107,175,10 NNW LEXINGTON,DAWSON,NE,40.91,-99.82,STORM CHASER REPORTS GOLF BALL SIZE HAIL COVERING THE ROAD. (GID)
2108,175,BEL AIRE,SEDGWICK,KS,37.76,-97.27,(ICT)
2108,100,ROCKPORT,ATCHISON,MO,40.42,-95.52,(EAX)
2108,100,5 E BURWELL,GARFIELD,NE,41.78,-99.04,QUARTER SIZE HAIL REPORTED NEAR BURWELL. (LBF)
2112,100,10 NE MURFREESBORO,RUTHERFORD,TN,35.96,-86.27,QUARTER SIZE HAIL WAS REPORTED IN MILTON. (OHX)
2113,175,15 N LEXINGTON,DAWSON,NE,41,-99.74,(GID)
2115,125,5 W EDMOND,OKLAHOMA,OK,35.65,-97.57,(OUN)
2115,100,HUMBOLDT,RICHARDSON,NE,40.17,-95.94,ALONG WITH WINDS ESTIMATED AT 60 MPH. (OAX)
2117,100,6 NE EDMOND,OKLAHOMA,OK,35.71,-97.4,I-35 AND SEWARD (OUN)
2117,100,1 S PERTH,SUMNER,KS,37.16,-97.49,(ICT)
2118,150,W EDMOND,OKLAHOMA,OK,35.65,-97.48,178TH AND WESTERN (OUN)
2118,275,5 NNW ANDOVER,SEDGWICK,KS,37.76,-97.17,SPOTTER WAS 1 MILE WEST OF THE BUTLER AND SEDGEWICK COUNTY LINE ON 45TH STREET NORTH. (ICT)
