Time,Speed,Location,County,State,Lat,Lon,Comments
2053,UNK,STERLING,ARENAC,MI,44.03,-84.02,TREES DOWN (APX)
2056,UNK,SANFORD,MIDLAND,MI,43.68,-84.38,POWER LINES AND TREES DOWN. RADAR ESTIMATED TIME. (DTX)
2057,UNK,STANDISH,ARENAC,MI,43.98,-83.96,ROOF REPORTED BLOWN OFF A HOUSE (APX)
2105,UNK,TWINING,ARENAC,MI,44.11,-83.81,TREES DOWN (APX)
2107,UNK,1 NNW LONG LAKE,IOSCO,MI,44.43,-83.88,TREES DOWN. (APX)
2110,UNK,1 E ALMA,GRATIOT,MI,43.38,-84.64,POWER POLES DOWN JUST EAST OF ALMA ON LINCOLN ROAD. ONE PERSON IS TRAPPED IN THEIR VEHICLE DUE TO DOWN LINES. VERIFIED BY ALMA POLICE DEPT (GRR)
2110,UNK,2 N ALMA,GRATIOT,MI,43.41,-84.66,UTILITY TRAILERS BLOWN ONTO THEIR SIDES ALONG M-46.SEVERAL POWER POLES BROKEN. SPOTTER ALSO NOTED LARGE TREE LIMBS DOWN (GRR)
2110,UNK,GLENNIE,ALCONA,MI,44.57,-83.72,NUMEROUS TREES AND WIRES DOWN. (APX)
2115,UNK,TAWAS CITY,IOSCO,MI,44.27,-83.52,NUMEROUS POWER LINES DOWN. (APX)
2125,UNK,1 SW FORT MEADE,POLK,FL,27.74,-81.81,REPORTS OF POWER LINES AND POWER POLES DOWN WEST OF FORT MEADE. TIME ESTIMATED BY RADAR. (TBW)
2125,58,1 NNW MARSHALL,CALHOUN,MI,42.28,-84.97,HAM RADIO OPERATOR REPORTED PEA SIZE HAIL ALONG WITH MEASURED THUNDERSTORM WIND GUSTS (GRR)
2126,UNK,INDIAN FIELD,DORCHESTER,SC,33.22,-80.54,SOUTH CAROLINA HIGHWAY PATROL REPORTED 2 TREES DOWN ON INDIAN FIELD CIRCLE. TIME ESTIMATED BY RADAR. (CHS)
2130,UNK,WACOUSTA,CLINTON,MI,42.83,-84.7,CLINTON CO DISPATCH AND EM REPORTED POWER LINES AND SEVERAL TREE LIMBS WERE DOWN IN THE SOUTHWEST PORTION OF THE COUNTY.TREE LIMBS WERE 10 TO 12 INCHES IN DIAMETER. (GRR)
2130,UNK,1 NNW ALMA,GRATIOT,MI,43.39,-84.67,METAL PANEL ROOF BLOWN OFF OF A CAR WASH NEAR THE INTERSECTION OF WARWICK DRIVE AND WRIGHT AVE. (GRR)
2140,58,11 NNW BAY PARK,LHZ422,MI,43.8,-83.7,49 MPH SUSTAINED WINDS FROM 510PM TO 540PM WITH PEAK GUST AT 540PM. (DTX)
2140,58,13 NNW BAY PARK,LHZ422,MI,43.81,-83.72,49 MPH SUSTAINED WINDS FROM 510PM TO 540PM WITH PEAK GUST AT 540PM. (DTX)
2148,UNK,2 ENE MIDDLEBROOK,AUGUSTA,VA,38.06,-79.18,LARGE TREE LIMBS SNAPPED FROM MAPLE TREE (LWX)
2150,UNK,2 WNW SHIELDS,SAGINAW,MI,43.43,-84.12,POWER LINES DOWN. (DTX)
2151,UNK,1 SW FORT MEADE,POLK,FL,27.74,-81.81,REPORTS OF POWER LINES AND POWER POLES DOWN WEST OF FORT MEADE. TIME ESTIMATED BY RADAR. (TBW)
2152,UNK,4 ENE RHODES,BAY,MI,43.93,-84.1,BARN BLOWN DOWN. RADAR ESTIMATED TIME. (DTX)
2153,UNK,3 WSW AKRON,TUSCOLA,MI,43.55,-83.57,SNAPPED POWERLINE IN NORTHERN TUSCOLA COUNTY (DTX)
2156,UNK,SANFORD,MIDLAND,MI,43.68,-84.38,POWER LINES AND TREES DOWN. RADAR ESTIMATED TIME. (DTX)
2159,UNK,2 WNW SAGINAW,SAGINAW,MI,43.43,-83.99,TREES DOWN. (DTX)
2203,UNK,1 SE PORT AUSTIN,HURON,MI,44.03,-82.98,DOWNED POWER LINE. RADAR ESTIMATED TIME. (DTX)
2207,UNK,GRINDSTONE CITY,HURON,MI,44.05,-82.9,DOWNED POWER LINES. RADAR ESTIMATED TIME. (DTX)
2212,UNK,5 NNE LAINGSBURG,SHIAWASSEE,MI,42.96,-84.33,TREES AND POWER LINES DOWN. RADAR ESTIMATED TIME. (DTX)
2220,UNK,WILLIAMSTON,INGHAM,MI,42.69,-84.28,INGHAM CO DISPATCH STATED THAT TREES AND POWER LINES WERE REPORTED DOWN (GRR)
2233,UNK,6 NNE FOWLERVILLE,LIVINGSTON,MI,42.74,-84.04,TREES DOWN AT OWOSSO AND HAYNER ROADS (DTX)
2238,UNK,4 WNW FLINT,GENESEE,MI,43.05,-83.75,15 INCH TREE LIMBS DOWNED AT PASADENA AND I-75 (DTX)
2240,UNK,2 SSW ARCADIA,DESOTO,FL,27.19,-81.87,TREE DOWN ON SW BALDIWN ST. TIME ESTIMATED BY RADAR. (TBW)
2240,UNK,1 SE ARCADIA,DESOTO,FL,27.21,-81.85,TREE DOWN ON SE POINTER AVENUE JUST SOUTH OF ARCADIA MUNICIPAL AIRPORT. (TBW)
2240,UNK,ARCADIA,DESOTO,FL,27.22,-81.86,TREE DOWN ON PARKVIEW RD. LARGE FLAGPOLE DOWN ON THE CORNER OF POLK AVE AND MAGNOLIA ST (TBW)
2242,UNK,3 NE FLINT,GENESEE,MI,43.06,-83.65,LARGE TREE LIMBS DOWNED (DTX)
2245,UNK,GENE AUTRY,CARTER,OK,34.28,-97.04,EM REPORTS ROOF BLOWN OFF OF OLD GENE AUTRY GYM. (OUN)
2246,UNK,1 E OAK GROVE,LIVINGSTON,MI,42.7,-83.92,TREES DOWN AT FISCHER AND FAUSSETT ROADS (DTX)
2249,65,CHECOTAH,MCINTOSH,OK,35.47,-95.52,60 TO 65 MPH WINDS REPORTED BY THE CHECOTAH POLICE DEPARTMENT. (TSA)
2252,UNK,DEWITT,CLINTON,MI,42.84,-84.58,BRANCHES ON POWER LINES NORTH OF TOWN. TREE DEBRIS WAS SEEN ALL ALONG U.S. 127 FROM DEWITT TO ST. JOHNS. (GRR)
2253,75,PITTSBURG,CRAWFORD,KS,37.41,-94.7,TREES DOWN. (SGF)
2254,UNK,LINDEN,GENESEE,MI,42.82,-83.78,8 INCH DIAMETER TREE LIMB DOWN. (DTX)
2255,UNK,5 NW LAKE GENEVA,BRADFORD,FL,29.84,-82.06,BRADLEY COUNTY EMERGENCY MANAGEMENT RELAYED REPORT VIA SOCIAL MEDIA THAT A TREE AND POWERLINES WERE BLOCKING STATE ROUTE 100 AT SE 81ST STREET IN THERESSA. TIME IS ESTI (JAX)
2255,UNK,4 SSE SWARTZ CREEK,GENESEE,MI,42.91,-83.79,12 INCH DIAMETER TREES DOWNED AT SHARP AND GRAND BLANC ROADS (DTX)
2300,66,7 E CENTRAILIA,CRAIG,OK,36.8,-95.21,MEASURED 66 MPH WIND GUST AT THE VINITA MESONET. (TSA)
2300,UNK,3 NNE FENTON,GENESEE,MI,42.84,-83.7,TREES DOWNED AT FENTON AND LAKESIDE LANDING ROADS (DTX)
2301,UNK,3 SSE MAYVILLE,LAPEER,MI,43.29,-83.34,TREE DOWN ACROSS THE ROAD AT RICH ROAD AND MURPHY LAKE ROAD (DTX)
2303,UNK,NORTH BRANCH,LAPEER,MI,43.23,-83.19,POWER LINES DOWN (DTX)
2312,UNK,3 NW DECKERVILLE,SANILAC,MI,43.56,-82.8,DOWNED POWER LINES. RADAR ESTIMATED TIME. (DTX)
2315,UNK,BOWIE,MONTAGUE,TX,33.57,-97.85,CERT MEMBER REPORTS THE DOORS AT THE WALMART WERE RIPPED OFF THE HINGES BY THUNDERSTORM WINDS (FWD)
2315,UNK,LAMAR,BARTON,MO,37.49,-94.28,SEVERAL BLDGS DAMAGED. ROOFS IN LAMAR BY ESTIMATED 75 MPH WINDS. (SGF)
2315,UNK,3 NE LAMAR,BARTON,MO,37.53,-94.24,ROOF DAMAGE TO BUILDING AT INTERSECTION OF HIGHWAY C AND F APPROXIMATELY 3 MILES NORTHEAST OF LAMAR. (SGF)
2317,UNK,4 W DAVISON,GENESEE,MI,43.03,-83.6,WIRES AND POWERLINES DOWNED (DTX)
2320,UNK,2 E LA MONTE,PETTIS,MO,38.77,-93.39,POSSIBLE TORNADO. DAMAGE TO OUTBUILDINGS ALONG WITH TREES AND POWER LINES DOWN. SURVEY TEAM TO FINISH EVALUATION TOMORROW. (EAX)
2328,UNK,BLANKET,BROWN,TX,31.82,-98.79,POWER POLLS DOWN...TREES SHEARED OFF...HIGH SCHOOL ROOF DAMAMGED...AND DAMAGE TO THE BUS BARN. (SJT)
2330,UNK,4 NNW HUNTERS,SCREVEN,GA,32.7,-81.57,NUMEROUS TREE LIMBS DOWN UP TO 3 INCHES IN DIAMETER. TIME ESTIMATED BY RADAR. (CHS)
2334,UNK,2 NNW WAGONER,CEDAR,MO,37.7,-93.93,BARN BLOWN INTO TRAILER HOME AND DAMAGED TRAILER. (SGF)
2339,80,2 WNW WAPANUCKA,JOHNSTON,OK,34.38,-96.46,SPOTTER REPORTED TREE BRANCHES DOWN IN AREA (OUN)
2343,UNK,STOCKTON,CEDAR,MO,37.7,-93.8,TREES AND POWER LINES REPORTED DOWN THROUGHOUT THE COUNTY. (SGF)
2343,UNK,5 NNW STOCKTON,CEDAR,MO,37.77,-93.84,ROOF DAMAGE TO TRAILER HOME. (SGF)
2353,UNK,FLORIDA,MONROE,MO,39.49,-91.79,2 LARGE TREES BLOWN DOWN IN FLORIDA (LSX)
2355,UNK,BLUE EYE,CARROLL,AR,36.5,-93.4,TREES DOWN AND POWER OUTAGES IN AND AROUND THE VICINITY OF BLUE EYE. (TSA)
2357,UNK,WEAUBLEAU,HICKORY,MO,37.89,-93.54,REPORTS OF DAMAGE TO ROOF OF CITY HALL. (SGF)
2357,UNK,COLLINS,ST. CLAIR,MO,37.89,-93.62,TREES REPORTED DOWN. (SGF)
0010,UNK,KEOKUK,LEE,IA,40.41,-91.4,REPORT OF TREE LIMBS DOWN IN EASTERN LEE COUNTY. TIME ESTIMATED BY RADAR. (DVN)
0012,65,BENTONVILLE,BENTON,AR,36.37,-94.21,(TSA)
0013,UNK,SPRINGDALE,WASHINGTON,AR,36.19,-94.13,*** 1 FATAL *** DEBRIS STRUCK VEHICLE. (TSA)
0015,69,SPRINGDALE,WASHINGTON,AR,36.19,-94.13,MEASURED 69 MPH WIND GUST NEAR THE SPRINGDALE AIRPORT. (TSA)
0015,61,2 S BENTONVILLE,BENTON,AR,36.34,-94.21,MEASURED 61 MPH GUST AT THE BENTONVILLE MUNICIPAL AIRPORT (TSA)
0017,70,SPRINGDALE,WASHINGTON,AR,36.19,-94.13,(TSA)
0020,UNK,2 E LA MONTE,PETTIS,MO,38.77,-93.39,POSSIBLE TORNADO. DAMAGE TO OUTBUILDINGS ALONG WITH TREES AND POWER LINES DOWN. SURVEY TEAM TO FINISH EVALUATION TOMORROW. (EAX)
0021,70,WEDINGTON,WASHINGTON,AR,36.08,-94.42,ASLO REPORTED PEA SIZE HAIL (TSA)
0025,UNK,1 E PRIDDY,MILLS,TX,31.67,-98.5,A BARN WAS BLOWN OVER FM-218 EAST OF PRIDDY. PROBABLY ASSOCIATED WITH A TORNADO. (FWD)
0025,88,HANNIBAL,MARION,MO,39.71,-91.38,TREES UPROOTED ONE QUARTER MILE SOUTHEAST OF AIRPORT (LSX)
0029,UNK,HANNIBAL,MARION,MO,39.71,-91.38,LARGE LIMBS BLOWN DOWN (LSX)
0030,UNK,1 W HANNIBAL,MARION,MO,39.71,-91.4,NUMEROUS TREES UPROOTED (LSX)
0033,UNK,PAYSON,ADAMS,IL,39.82,-91.24,DAMAGE TO A GARAGE...POWER POLES SNAPPED AND SEVERAL LARGE TREES UPROOTED IN PAYSON IL. (LSX)
0035,60,HULL,PIKE,IL,39.71,-91.2,(LSX)
0035,58,HANNIBAL,MARION,MO,39.71,-91.38,(LSX)
0035,64,FALL CREEK,ADAMS,IL,39.78,-91.3,AMATEUR RADIO OPERATOR REPOTED ESTIMATED 60 TO 65 MPH. (LSX)
0039,UNK,CREVE COEUR,TAZEWELL,IL,40.64,-89.6,TREE FELL ON FENCE (ILX)
0040,80,EUREKA SPRINGS,CARROLL,AR,36.4,-93.74,(TSA)
0040,60,GRAVOIS MILLS,MORGAN,MO,38.31,-92.83,(SGF)
0045,UNK,GRAVOIS MILLS,MORGAN,MO,38.31,-92.83,DAMAGE TO ROOF AND DECK. TREES DOWN. (SGF)
0050,UNK,PEORIA,PEORIA,IL,40.74,-89.61,18 INCH DIAMETER TREE DOWN ON A HOUSE. FROM PEORIA CITY EM. (ILX)
0055,66,3 NNE CLAYTON,PUSHMATAHA,OK,34.63,-95.33,MEASURED WIND GUST OF 66 MPH AT THE CLAYTON MESONET (TSA)
0059,60,BRANSON WEST,STONE,MO,36.7,-93.37,(SGF)
0100,UNK,1 W DURANT,BRYAN,OK,33.99,-96.39,EMERGENCY MANAGEMENT REPORTS TREES DOWN AND POWER LINE DOWN IN WESTERN DURANT. (OUN)
0100,UNK,LEBANON,LACLEDE,MO,37.68,-92.66,TREE AND POWERLINES DOWN AT GREEN HILLS DRIVE AND TOWER ROAD. (SGF)
0104,UNK,5 W HARTVILLE,WRIGHT,MO,37.25,-92.6,MULTIPLE TREES SNAPPED. (SGF)
0104,UNK,BRANCH,CAMDEN,MO,37.91,-93,DAMAGE TO SIDING AND SHINGLES TO A COUPLE HOTELS NEAR WHITE WATER PARK. (SGF)
0105,62,7 WNW ARDMORE,CARTER,OK,34.21,-97.24,(OUN)
0105,UNK,REEDS SPRING,STONE,MO,36.75,-93.38,NUMEROUS TREES REPORTED DOWN IN AND NEAR REEDS SPRING. TREES ALSO REPORTED DOWN ALONG HIGHWAY 413. (SGF)
0109,UNK,LEBANON,LACLEDE,MO,37.68,-92.66,ROOF BLOWN OFF MOBIL HOME INTO POWER LINES NEAR 438 HIGHWAY AND HIGHWAY MM. (SGF)
0109,UNK,1 W HANNIBAL,MARION,MO,39.71,-91.4,NUIMEROUS BRANCHES DOWNED. WIND SPEED 55 MPH. (LSX)
0110,UNK,BRANSON,TANEY,MO,36.64,-93.22,WIND DAMAGE TO SHINGLES AND SIDING TO A COUPLE OF HOTELS ON WEST SIDE OF BRANSON. (SGF)
0110,65,2 N BRANSON,TANEY,MO,36.67,-93.22,POWER OUTAGES REPORTED AT HIGHWAY F AND 65 NORTH OF BRANSON. (SGF)
0110,60,1 S UNION,HARDIN,IA,42.23,-93.06,PEA TO DIME SIZE HAIL. (DMX)
0111,UNK,5 WSW LISCOMB,MARSHALL,IA,42.17,-93.09,TREE FELL AND TOOK OUT POWERLINES NEAR BANGOR. (DMX)
0112,UNK,COTTLEVILLE,ST. CHARLES,MO,38.75,-90.65,1 TREE BLOWN DOWN (LSX)
0114,UNK,CALIFORNIA,MONITEAU,MO,38.63,-92.57,A FEW TREES WERE DOWN BY HIGH WINDS IN CALIFORNA MO. (LSX)
0115,60,3 N STATE CENTER,MARSHALL,IA,42.06,-93.17,PEA SIZE HAIL AS WELL. (DMX)
0122,UNK,5 E ELDORA,GRUNDY,IA,42.35,-93,UTILITY LINES BENT TO THE EAST. TIME ESTIMATED FROM RADAR. (DMX)
0129,60,DIXON,PULASKI,MO,37.99,-92.09,DIME SIZED HAIL AS WELL (SGF)
0131,UNK,FORSYTH,TANEY,MO,36.68,-93.12,TWO MOBIL HOMES EPORTED DAMAGED FROM FALLEN TREES. (SGF)
0133,UNK,O'FALLON,ST. CHARLES,MO,38.78,-90.71,POWER LINES DOWN AT MEXICO AND BRYAN ROAD (LSX)
0135,UNK,TOULON,STARK,IL,41.09,-89.86,TREES AND POWER LINES DOWN. TIME ESTIMATED. (ILX)
0137,60,3 SW FORDLAND,WEBSTER,MO,37.13,-92.98,(SGF)
0138,UNK,5 WNW VIRGINIA,CASS,IL,39.98,-90.3,SEVERAL TREE BRANCHES DOWN (ILX)
0138,UNK,BEARDSTOWN,CASS,IL,40.01,-90.43,POWER POLE KNOCKED DOWN (ILX)
0140,UNK,VIRGINIA,CASS,IL,39.95,-90.21,POWER POLE KNOCKED DOWN (ILX)
0141,60,POTEAU,LE FLORE,OK,35.05,-94.62,SUSTAINED 55 TO 60 MPH WINDS (TSA)
0143,58,8 E PETERSBURG,MENARD,IL,40.01,-89.7,(ILX)
0146,UNK,5 N AVA,DOUGLAS,MO,37.02,-92.66,TWO TREES REPORTED DOWN. (SGF)
0149,UNK,3 E AVA,DOUGLAS,MO,36.95,-92.61,TREES REPORTED DOWN. (SGF)
0200,UNK,5 SSW HARTVILLE,WRIGHT,MO,37.18,-92.54,SEVERAL HOMES HAD SHINGLES BLOWN OFF ROOF. SMALL SHEDS BLOWN OVER. (SGF)
0204,UNK,5 W HARTVILLE,WRIGHT,MO,37.25,-92.6,MULTIPLE TREES SNAPPED. (SGF)
0222,UNK,1 E LAURA,PEORIA,IL,40.92,-89.9,TWO LARGE TREES BLOWN DOWN. (ILX)
0223,70,3 SW MARSHALLTOWN,MARSHALL,IA,42,-92.96,MEASURED AT RWIS STATION ON HW 30. (DMX)
0235,UNK,BRADFORD,STARK,IL,41.18,-89.66,SHED BLOWN OVER (ILX)
0247,69,4 NNE ORCHARD FARMS,ST. CHARLES,MO,38.93,-90.42,(LSX)
0248,UNK,4 SW OZARK,FRANKLIN,AR,35.45,-93.88,TREES DOWN (TSA)
0255,UNK,BALLWIN,ST. LOUIS,MO,38.59,-90.55,MULTIPLE LARGE TREES SNAPPED IN THE WINCHESTER AREA (LSX)
0255,58,5 S SHIPMAN,MACOUPIN,IL,39.05,-90.05,(LSX)
0255,UNK,PRINCETON,BUREAU,IL,41.38,-89.47,REPORTS OF TREES BLOWN OVER AND BLOCKING ROADWAYS IN PRINCETON. (DVN)
0307,UNK,BRIXEY,OZARK,MO,36.75,-92.4,TREES AND POWER LINES REPORTED DOWN. (SGF)
0312,60,OLIVETTE,ST. LOUIS,MO,38.67,-90.38,(LSX)
0314,UNK,DORCHESTER,MACOUPIN,IL,39.09,-89.89,2 FOOT DIAMETER TREE SNAPPED AT BASE (LSX)
0315,60,EDWARDSVILLE,MADISON,IL,38.8,-89.97,(LSX)
